,image_name,x_1,y_1,x_2,y_2,category,category_type,category_type_name,width,height,area,evaluation_status,category_encoding
170818,img/Frayed_Denim_Gauchos/img_00000001.jpg,31,75,89,138,Gauchos,2,Lower Body,58,63,3654,train,2
170819,img/Frayed_Denim_Gauchos/img_00000002.jpg,46,86,116,166,Gauchos,2,Lower Body,70,80,5600,train,2
170820,img/Frayed_Denim_Gauchos/img_00000003.jpg,54,1,197,226,Gauchos,2,Lower Body,143,225,32175,train,2
170822,img/Frayed_Denim_Gauchos/img_00000005.jpg,100,105,208,263,Gauchos,2,Lower Body,108,158,17064,train,2
170823,img/Frayed_Denim_Gauchos/img_00000006.jpg,97,1,200,234,Gauchos,2,Lower Body,103,233,23999,train,2
170824,img/Frayed_Denim_Gauchos/img_00000007.jpg,103,104,159,161,Gauchos,2,Lower Body,56,57,3192,train,2
170825,img/Frayed_Denim_Gauchos/img_00000008.jpg,1,1,200,221,Gauchos,2,Lower Body,199,220,43780,train,2
170826,img/Frayed_Denim_Gauchos/img_00000009.jpg,82,114,227,246,Gauchos,2,Lower Body,145,132,19140,train,2
170827,img/Frayed_Denim_Gauchos/img_00000010.jpg,200,105,260,192,Gauchos,2,Lower Body,60,87,5220,train,2
170828,img/Frayed_Denim_Gauchos/img_00000011.jpg,65,83,202,278,Gauchos,2,Lower Body,137,195,26715,train,2
170829,img/Frayed_Denim_Gauchos/img_00000012.jpg,41,1,281,286,Gauchos,2,Lower Body,240,285,68400,train,2
170830,img/Frayed_Denim_Gauchos/img_00000013.jpg,196,102,262,167,Gauchos,2,Lower Body,66,65,4290,train,2
170831,img/Frayed_Denim_Gauchos/img_00000014.jpg,1,1,300,300,Gauchos,2,Lower Body,299,299,89401,train,2
170832,img/Frayed_Denim_Gauchos/img_00000015.jpg,89,101,198,276,Gauchos,2,Lower Body,109,175,19075,train,2
170833,img/Frayed_Denim_Gauchos/img_00000016.jpg,36,154,149,242,Gauchos,2,Lower Body,113,88,9944,train,2
170834,img/Frayed_Denim_Gauchos/img_00000017.jpg,1,1,300,300,Gauchos,2,Lower Body,299,299,89401,train,2
170835,img/Frayed_Denim_Gauchos/img_00000018.jpg,52,83,119,128,Gauchos,2,Lower Body,67,45,3015,train,2
170836,img/Frayed_Denim_Gauchos/img_00000019.jpg,20,71,99,202,Gauchos,2,Lower Body,79,131,10349,train,2
170837,img/Frayed_Denim_Gauchos/img_00000020.jpg,41,1,144,270,Gauchos,2,Lower Body,103,269,27707,train,2
170839,img/Frayed_Denim_Gauchos/img_00000022.jpg,68,5,163,64,Gauchos,2,Lower Body,95,59,5605,train,2
170842,img/Frayed_Denim_Gauchos/img_00000025.jpg,83,124,171,300,Gauchos,2,Lower Body,88,176,15488,train,2
170843,img/Frayed_Denim_Gauchos/img_00000026.jpg,54,96,139,262,Gauchos,2,Lower Body,85,166,14110,train,2
